               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.007835,           0.0042708,           0.0028101,             0.62037,               0.546,             0.57284,             0.32509,           0.0091604,            0.003859,           0.0032769,           0.0037864,           0.0037864,           0.0037864
                 105,           0.0078484,           0.0041276,           0.0025572,             0.68484,             0.53146,             0.58669,              0.3326,           0.0090208,            0.003852,            0.003289,           0.0037171,           0.0037171,           0.0037171
                 106,            0.007677,           0.0040035,           0.0025543,             0.65593,             0.53688,             0.57768,             0.32846,            0.009213,           0.0038302,           0.0032238,           0.0036489,           0.0036489,           0.0036489
                 107,           0.0077591,           0.0043078,           0.0027527,             0.68914,             0.52627,              0.5691,             0.30678,           0.0091004,           0.0038141,           0.0031713,           0.0035816,           0.0035816,           0.0035816
                 108,           0.0077189,           0.0041063,            0.002565,             0.65796,             0.53293,             0.56482,             0.32209,           0.0090501,           0.0038055,           0.0032205,           0.0035154,           0.0035154,           0.0035154
                 109,           0.0076931,           0.0040349,           0.0025835,             0.60638,             0.51703,             0.56759,             0.30427,           0.0089682,           0.0038379,           0.0032922,           0.0034503,           0.0034503,           0.0034503
                 110,           0.0076214,           0.0040817,           0.0026129,             0.59947,             0.53845,             0.57059,             0.34086,           0.0088529,           0.0038722,           0.0032562,           0.0033863,           0.0033863,           0.0033863
                 111,           0.0074748,           0.0041233,           0.0026964,             0.60133,             0.53737,             0.57395,             0.34238,           0.0089366,           0.0038788,           0.0032036,           0.0033235,           0.0033235,           0.0033235
                 112,           0.0076135,           0.0040905,           0.0024095,             0.61436,             0.51481,             0.57236,             0.33563,           0.0089968,           0.0038724,           0.0032306,           0.0032618,           0.0032618,           0.0032618
                 113,           0.0075784,           0.0042409,           0.0026694,             0.59371,             0.54611,             0.57356,             0.34325,           0.0089588,            0.003861,           0.0031792,           0.0032013,           0.0032013,           0.0032013
                 114,           0.0074739,           0.0042032,           0.0025539,             0.54827,             0.56891,              0.5587,             0.31651,           0.0089904,           0.0039005,           0.0031881,           0.0031421,           0.0031421,           0.0031421
                 115,           0.0074595,           0.0044469,           0.0026162,             0.55397,             0.54637,             0.56028,             0.33349,           0.0089628,           0.0039394,           0.0031799,           0.0030841,           0.0030841,           0.0030841
